OTU ID,41.T1,41.T2,41.T3,41.T4,41.T5,42.T1,42.T2,42.T3,42.T4,42.T5,43.T1,43.T2,43.T3,43.T4,43.T5,44.T1,44.T2,44.T3,44.T4,44.T5,45.T1,45.T2,45.T3,45.T4,45.T5,46.T1,46.T2,46.T3,46.T4,46.T5,47.T1,47.T2,47.T3,47.T4,47.T5,48.T1,48.T2,48.T3,48.T4,48.T5,49.T1,49.T2,49.T3,49.T4,49.T5,51.T1,51.T2,51.T3,51.T4,51.T5,52.T1,52.T2,52.T3,52.T4,52.T5,54.T1,54.T2,54.T3,54.T4,54.T5,55.T1,55.T2,55.T3,55.T4,55.T5,56.T1,56.T2,56.T3,56.T4,56.T5
f__Lactobacillaceae;g__Lactobacillus,0.001353791,0.007501376,0.020179372,0.006214465,0.013246397,0.018369437,0.005096195,0.010456957,0.027073536,0.049697871,0.020929597,0.004793599,0.005793551,0.008893281,0.082605995,0.028604599,0.000836764,0.01743831,0.007098462,0.062479086,0.005221372,0.0127338,0.024359462,0.004292975,0.013865853,0.002950096,0.037854298,0.009795433,0.069388733,0.019707097,0.108073328,0.062705592,0.009988508,0.022577563,0.009827443,0.004817521,0.042247,0.077906029,0.032076775,0.056584238,0.00199901,0.012652608,0.004505178,0.007632592,0.025686511,0.003259404,0.003676347,0.004193777,0.007027722,0.010915745,0.001575423,0.00162871,0.003336809,0.008212937,0.004781935,0.001800019,0.001306357,0.003081279,0.001505571,0.006984574,0.001446953,0.000552577,0.00206868,0.001244916,0.001187017,0.002978433,0.000929638,0.00143909,0.000565702,0.001560415
f__Paraprevotellaceae;g__CF231,0.248523138,0.182118342,0.170453413,0.403543567,0.062296957,0.460898869,0.040137121,0.295531333,0.223522797,0.122111998,0.234500727,0.23936959,0.251109051,0.140502209,0.24000523,0.278421395,0.024293137,0.364408711,0.263026344,0.118409102,0.121879694,0.075034215,0.123736788,0.239495373,0.122205268,0.006410256,0.214195086,0.379450267,0.238879243,0.190764039,0.128745072,0.379067148,0.131916767,0.086262382,0.208637077,0.003882541,0.182028628,0.162306418,0.130398252,0.276877513,0.091954478,0.215110195,0.285602124,0.162371975,0.288937771,0.005732055,0.007116598,0.004594653,0.003231584,0.00269213,0.007562032,0.003800323,0.004333217,0.003626881,0.005313261,0.154801654,0.255982157,0.348725849,0.328136327,0.026053967,0.004257151,0.006794646,0.006810732,0.003727015,0.003472468,0.005651846,0.010284121,0.003357878,0.003232584,0.003839442
f__Ruminococcaceae;g__,0.009558582,0.006777305,0.007324365,0.006082242,0.01686113,0.009449027,0.006361078,0.00759811,0.013596402,0.010921899,0.009730679,0.023450702,0.015675694,0.011904208,0.011424929,0.003746429,0.004750658,0.010173107,0.020162298,0.013719585,0.014662757,0.012337109,0.009920101,0.007978454,0.010216944,0.006878963,0.008649889,0.005582622,0.008760901,0.005553371,0.004281753,0.004138658,0.005905079,0.012671595,0.003321953,0.004199483,0.002392068,0.002852786,0.001699061,0.003732152,0.011895101,0.005390836,0.008430852,0.014482354,0.006279713,0.02405215,0.013288812,0.017607697,0.019408971,0.024923232,0.003623474,0.004913971,0.015965705,0.014147833,0.020810272,0.010635228,0.013286602,0.012075283,0.010527842,0.018717652,0.016657897,0.011870165,0.011011744,0.01299816,0.013198923,0.013815624,0.005577828,0.012016406,0.018102473,0.013633097
f__Lachnospiraceae;g__,0.032408927,0.03588496,0.03285999,0.012402486,0.082383894,0.003645254,0.030595503,0.020761034,0.049308253,0.035544641,0.043716083,0.050901817,0.036896643,0.052441293,0.032591285,0.003721727,0.016262906,0.029361628,0.041674304,0.088197333,0.018954295,0.046412916,0.032841195,0.024563109,0.036953493,0.009815274,0.006355021,0.015429746,0.019258018,0.021345259,0.006925678,0.005238129,0.034721373,0.100241364,0.034972778,0.016671157,0.006173078,0.005705571,0.002819321,0.004719366,0.029292429,0.019644839,0.039892324,0.041065953,0.016320159,0.056983366,0.015987048,0.076906473,0.072262887,0.093551508,0.005041355,0.012779108,0.087521724,0.073316947,0.098206774,0.019704027,0.024948224,0.044012325,0.024055673,0.056680569,0.0522936,0.049179321,0.058114,0.034795787,0.040712919,0.023055944,0.090930219,0.063775694,0.077824471,0.059542141
f__S24-7;g__,0.438587135,0.554174993,0.593996014,0.391352638,0.470098376,0.387872647,0.306981604,0.360122915,0.350933688,0.578699066,0.325977746,0.251267372,0.345825333,0.405394094,0.373557582,0.572306071,0.074849855,0.288766739,0.346708213,0.249247096,0.505686289,0.506218141,0.494937872,0.449405666,0.445697605,0.858354012,0.600549444,0.390460437,0.375980363,0.445760435,0.471881983,0.37448155,0.602305793,0.425478956,0.574051859,0.781753641,0.653536016,0.484421424,0.649115928,0.485565,0.647065809,0.610765816,0.440049351,0.496901298,0.523309444,0.39573655,0.577355054,0.535600851,0.554430774,0.519707231,0.627491138,0.635558773,0.562576758,0.643246808,0.513216737,0.403080644,0.398088259,0.235468021,0.371898246,0.471458721,0.644695303,0.675698907,0.657585691,0.598580332,0.641609383,0.697401945,0.653128813,0.551459478,0.374494909,0.554850631
f__Mogibacteriaceae;g__,0.000328192,0.000115851,0.000224215,0.000132223,0.000892244,4.41E-05,0.000210814,0.000137592,0.0003578,0.000258506,0.00028789,0.000344863,0.000314507,0.000244129,0.000130757,2.47E-05,9.45E-05,0.000118504,0.000316598,0.000334624,0.000357628,0.000297519,0.000194876,0.000404998,0.00053075,5.51E-05,6.62E-05,0.000193841,0.000279391,0.000163816,0.000163783,0.000125143,0.00014671,0.000628551,0.000184553,3.17E-05,3.86E-05,2.63E-05,3.73E-05,0.000192627,0.000376051,7.93E-05,0.000186937,0.000391415,3.55E-05,0.000487037,0.000505919,0.000215856,0.000330945,0.000483742,7.88E-05,0.000320174,0.000324412,0.000299742,0.000708435,0.000178628,0.00054166,0.000249833,8.92E-05,0.000703482,0.000251124,0.000429782,0.000222781,0.000371155,0.00047835,5.38E-05,0.000290512,0.000503682,0.000727332,0.000739144
f__Prevotellaceae;g__Prevotella,0.012922547,0.009499812,0.007075237,0.018061616,0.01603752,0.014525952,0.023748637,0.023054226,0.039340966,0.020680518,0.021188697,0.007931855,0.024217043,0.031318298,0.013860286,0.01411292,0.003940887,0.01213298,0.033776015,0.048281467,0.016164795,0.009679275,0.024173866,0.034404552,0.008093943,0.001226909,0.010415173,0.01705801,0.014368676,0.006929428,0.012412405,0.05609089,0.019439079,0.008900287,0.004060164,0.014832892,0.007639184,0.011739805,0.029686887,0.01459151,0.013894112,0.003440622,0.02850787,0.030302042,0.012914213,0.017383486,0.065702047,0.028493016,0.031050459,0.017435746,0.031744781,0.007948661,0.010079944,0.022900306,0.016338278,0.02067961,0.042950454,0.040972685,0.036613247,0.054318878,0.013453076,0.012218084,0.032589669,0.119999072,0.023332861,0.028905157,0.012375806,0.021490418,0.237190884,0.033323067
f__Porphyromonadaceae;g__Parabacteroides,0.005989498,0.002925247,0.001669158,0.00285601,0.003500343,0.004845655,0.001961485,0.001513507,0.004600286,0.002778945,0.001381872,0.004793599,0.005776998,0.00431295,0.004772646,0.001119812,0.000701802,0.002461236,0.006681886,0.005306181,0.005435949,0.002082631,0.00496469,0.006581212,0.003648909,0.00318445,0.004225647,0.004471266,0.00500908,0.00221152,0.002047286,0.001555349,0.002017263,0.003017046,0.001476423,0.000364483,0.000501563,0.001985118,0.000802853,0.00421372,0.001979218,0.004835897,0.008786032,0.004990541,0.004221954,0.008953994,0.014098283,0.00299115,0.001615792,0.002376646,0.004174872,0.004217941,0.011331248,0.003596907,0.005401815,0.007818404,0.002676438,0.00341439,0.003022294,0.005250992,0.003886444,0.004666203,0.003023456,0.004863678,0.005545319,0.011788137,0.001568764,0.005084786,0.005333764,0.002525408
