OTU ID,A01P4A,A02P4A,A03P4B,A05P4C,A06P4C,A07P4D,A08P4D,A09P4E,A10P4E,B01L4F,B02L4F,B03L4G,B04L4G,B05L4H,B06L4H,B07L4I,B08L4I,B09L4J,B10L4J,C01P1A,C01P5A,C02P1A,C02P5A,C03P1B,C03P5B,C04P1B,C04P5B,C05P1C,C05P5C,C06P1C,C06P5C,C07P1D,C07P5D,C08P1D,C08P5D,C09P1E,C09P5E,C10P1E,C10P5E,D01L1F,D01L5F,D02L1F,D02L5F,D03L1G,D03L5G,D04L1G,D04L5G,D05L1H,D05L5H,D06L1H,D06L5H,D07L1I,D07L5I,D08L1I,D08L5I,D09L1J,D09L5J,D10L1J,D10L5J,E01P2A,E02P2A,E03P2B,E04P2B,E05P2C,E06P2C,E07P2D,E08P2D,E09P2E,E10P2E,F01L2F,F02L2F,F03L2G,F04L2G,F05L2H,F06L2H,F07L2I,F08L2I,F09L2J,F10L2J,G01P3A,G02P3A,G03P3B,G04P3B,G05P3C,G06P3C,G07P3D,G08P3D,G09P3E,G10P3E,H01L3F,H02L3F,H03L3G,H04L3G,H05L3H,H06L3H,H07L3I,H08L3I,H09L3J,H10L3J
o__Bacteroidales;f__;g__,0.009037596,0.036516341,0.022030562,0.010154211,0.022649436,0.033806292,0.040221107,0.05432776,0.048957628,0.005167464,0.024144494,0.028310899,0.016773306,0.049860717,0.006884905,0.019580356,0.024941543,0.014566407,0.006070088,0.075703477,0.036536305,0.008998135,0.009423789,0.060294499,0.005190456,0.03178025,0.023213684,0.019122505,0.009029417,0.026985315,0.011337187,0.041340432,0.01475891,0.03537415,0.040552638,0.03365259,0.023331607,0.022775215,0.015621056,0.067177183,0.004593696,0.004610723,0.02895634,0.026699769,0.008152336,0.040062233,0.003615286,0.006253243,0.023747414,0.012134831,0.019891398,0.022691706,0.00764695,0.031876254,0.023550381,0.072817593,0.020028809,0.009396966,0.029137154,0.092915129,0.023767476,0.010619529,0.053623648,0.016796688,0.008880217,0.03760536,0.07422905,0.025415845,0.027762911,0.03203134,0.001726751,0.011319073,0.005343297,0.020025924,0.011054422,0.007811516,0.015269686,0.013445051,0.059713336,0.090088096,0.022407946,0.030773754,0.03054197,0.043998514,0.031416891,0.073484695,0.072522848,0.08703134,0.04960663,0.02561324,0.020520916,0.015469856,0.011023295,0.046510392,0.015845237,0.016965914,0.010970402,0.006697158,0.005957162
k__f__Lachnospiraceae;g__Coprococcus,0.000562339,0.001764956,0.0015937,0.005456702,0.000319649,0.000781411,0.004363954,0.001687853,0.001091292,0.00891866,0.001791245,0.000694746,0.006697363,0.000868921,0.003507405,0.003662838,0.002805924,0.00466125,0.00175219,0.002635382,0.000505617,0.000146311,0.001359651,0.003535288,0.011720385,0.000278164,0.000589821,0.002372866,0.00373301,0.000327378,0.00105113,0.000904757,0.001537386,0.001251701,0.001700883,0.00043535,0.001683502,0.001644678,0.000532855,0.002797139,0.001029621,0.000658675,0.004148355,0.002047127,0.001963701,0.00210035,0.008575099,0.001271406,0.005532068,0.005842697,0.001257502,0.000300951,0.004606597,0.001955754,0.002882172,0.003937723,0.005898896,0.003477617,0.000354153,0.003837638,0.000367918,0.001730339,0.000704647,0.004139468,0.000358394,0.001111488,0.000515878,0.000707029,0.001806262,0.001152206,0.000740036,0.001782531,0.000924029,0.001814647,0.001515824,0.002015875,0.001785379,0.0020947,0.00436443,0.00464828,0.002139858,0.00034302,0.002096018,0.001746563,0.000184155,0.000385161,0.001413637,0.001929395,0.001441355,0.002659836,0.001650283,0.002523452,0.006572379,0.002338808,0.003169047,0.001267035,0.004712119,0.006329631,0.002677376
f__Bifidobacteriaceae;g__Bifidobacterium,0.000883676,0.000365163,0.001265585,0.021399763,0.080688616,0.000123381,0.000145465,0.000158236,0.000263415,0.001186603,0.015225585,0.001172384,0.001285654,0.000485573,0.000389712,0.003120195,0.000467654,0.000679766,0.001032541,4.25E-05,0.00072545,0.000256044,0.001640958,9.73E-05,0.003013813,0.000278164,0.003581058,9.31E-05,0.037489631,0.00028061,0.008033636,0.002331489,0.000419287,0.00152381,0.000328241,0.00017414,8.63E-05,0.000214523,2.80E-05,9.17E-05,0.002455251,0.000197602,0.020166756,0.000304891,0.010592086,0.000388954,0.000717081,0.000155682,0.000179905,0.000160514,0.000342955,0.000662092,0.002072968,0.000279393,0.00079639,0.000484643,0.002400713,0.001331853,0.005956214,0.000664207,0.000220751,6.79E-05,7.05E-05,0.000238815,3.98E-05,0.000246997,0.000343918,0,0.000200696,0.004455198,0.022729675,0.024910873,0.010686594,0.000194426,0.007098492,0.001049935,0.003852659,0.005991816,0.011010266,0.000221347,0.004037468,9.80E-05,0.00013308,0.010553698,0.00279916,0.014068518,0.003813531,5.21E-05,6.01E-05,0.0007881,0.029776853,0.001590872,0.000956739,0.010046245,0.004540725,0.001668778,0.002503313,0.005349559,0.002610442
f__Erysipelotrichaceae;g__,4.02E-05,0.000182582,4.69E-05,0.000142349,0.000228321,0,7.27E-05,2.64E-05,0.000225785,0,3.73E-05,0.000130265,2.99E-05,0.000332234,0,0,0,6.47E-05,6.26E-05,0.000170025,0.0001319,0.000182889,0.000375076,0.000713544,0.000167434,0.000139082,4.21E-05,0.000325687,0.000255249,0.000607988,0.000375404,3.48E-05,8.39E-05,5.44E-05,0.000358081,0.000130605,0.000431667,0.000107262,0.000140225,4.59E-05,0.000158403,0.00026347,4.11E-05,0.000130668,0,0.000544535,2.99E-05,0.000363259,0.000134928,0.000321027,0.000114318,0.000481522,0.000138198,0.000228595,3.79E-05,0,6.86E-05,7.40E-05,0,0.000147601,3.68E-05,6.79E-05,7.05E-05,0.000119408,0.000278751,3.09E-05,5.73E-05,7.44E-05,0.000200696,3.84E-05,0,8.91E-05,0,6.48E-05,0.000110914,0.000125992,9.40E-05,9.74E-05,0.000198383,8.85E-05,0.000121124,0.000245014,3.33E-05,0.000706057,0.000110493,6.08E-05,3.29E-05,0.000469312,6.01E-05,4.93E-05,0,0,0.000166389,0,0,6.18E-05,0,0,0
f__Erysipelotrichaceae;g__Allobaculum,0.001084512,0.001521514,0.008999719,0.037485172,0.14073702,0.000534649,0.001236454,0.000553827,0.000526831,0.003751196,0.036608576,0.005167173,0.002033128,0.008893659,0.00168875,0.019580356,0.003897116,0.002589583,0.022090113,0.000382555,0.001560817,0.000585245,0.005766796,0.001297353,0.005106739,0.001043115,0.009352882,0.060810496,0.023738115,0.059863437,0.073654178,0.003897414,0.000614955,0.003918367,0.002804965,0.002046147,0.000777001,0.005649112,0.004290883,0.001971753,0.005544115,0.034382822,0.053312523,0.00095823,0.011425171,0.000855698,0.001762825,0.005604567,0.02613115,0.008025682,0.010460131,0.009630432,0.022065598,0.006375251,0.00766051,0.001514509,0.021469237,0.002959674,0.01181584,0.001845018,0.004966887,0.00169641,0.002325336,0.019781882,0.011030583,0.001080614,0.004814857,0.004353812,0.00280974,0.005031302,0.213412271,0.013502674,0.024788076,0.003888529,0.016526176,0.018856831,0.021894381,0.006381528,0.012944502,0.000796848,0.005692829,0.008477483,0.002395449,0.026384244,0.084969246,0.001439286,0.0030574,0.001355791,0.00084079,0.00118215,0.031355385,0.004169181,0.003036606,0.019082549,0.010736922,0.019623598,0.027021057,0.011352499,0.016666667
f__Ruminococcaceae;Other,0,0.000121721,0,0,0,8.23E-05,0,2.64E-05,3.76E-05,0.000114833,0.000186588,8.68E-05,5.98E-05,5.11E-05,0.000519615,9.04E-05,0.000155885,3.24E-05,3.13E-05,4.25E-05,0,0,4.69E-05,6.49E-05,0.000125576,0,0.00016852,0,6.38E-05,0,0,0,5.59E-05,0,0.00017904,4.35E-05,8.63E-05,0,0,0.000137564,0.000158403,0,0.000328583,0.000174224,5.95E-05,0.000388954,0,5.19E-05,4.50E-05,0.000128411,5.72E-05,0,0.000138198,2.54E-05,3.79E-05,6.06E-05,0,0,0,7.38E-05,0,0,0.000176162,0,0,0.000154373,0.000114639,0.000111636,0.000133797,0.000115221,0,4.46E-05,0,0.000194426,0.000110914,0.000125992,9.40E-05,0.000194856,9.92E-05,4.43E-05,4.04E-05,4.90E-05,3.33E-05,3.72E-05,0,2.03E-05,6.58E-05,0.000104292,0,0.000147769,7.18E-05,5.49E-05,0.000207987,0.000106309,0.000236496,3.09E-05,0,8.17E-05,0
f__Rikenellaceae;g__AF12,0.010282776,0.005416591,0.00782788,0.006120996,0.003607471,0.001357187,0.008873373,0.00234717,0.003763077,0.009722488,0.006194723,0.008033,0.011690486,0.007692504,0.007144713,0.005607308,0.007092751,0.000971094,0.002065081,0.002507864,0.001604784,0.0013168,0.005204182,0.008465231,0.00452072,0.001043115,0.002527806,0.005257526,0.004562568,0.005658965,0.004279601,0.00546334,0.004612159,0.005442177,0.001223442,0.003874619,0.002331002,0.00286031,0.002692318,0.009262656,0.000316807,0.006652615,0.0037787,0.016289908,0.00624814,0.012913263,0.000866473,0.009859886,0.009579923,0.003081862,0.000571592,0.003370651,0.012898471,0.00383531,0.018582426,0.009814018,0.003635366,0.005623381,0.00235029,0.002214022,0.00272259,0.001832123,0.002748124,0.009552619,0.006610385,0.007533422,0.006993007,0.001525695,0.003612523,0.006298729,0.007823237,0.006684492,0.001607007,0.00602722,0.01016711,0.002813826,0.004933283,0.013639906,0.006745028,0.004825357,0.001695736,0.008379478,0.005389759,0.006391676,0.003793599,0.000973039,0.008711947,0.00584033,0.004203952,0.006157029,0.00789266,0.00861265,0.005282862,0.006910115,0.008466559,0.004542786,0.008540716,0.003103561,0.00167336
f__Peptococcaceae;g__,8.03E-05,0,4.69E-05,0,0,0,0,5.27E-05,0,3.83E-05,7.46E-05,4.34E-05,0.000239192,0,0.000129904,0,0.000233827,0.000129479,0,4.25E-05,0,3.66E-05,0,9.73E-05,0,0,0,0,0,4.68E-05,0,0,0,0,2.98E-05,0,2.16E-05,0,0,4.59E-05,0,0,0.000164291,4.36E-05,0,0,0,0,0.000359809,3.21E-05,0,0,0,5.08E-05,0.000189617,6.06E-05,0,7.40E-05,3.22E-05,0,0,3.39E-05,3.52E-05,0,0,0,0,0,0,0,7.05E-05,0,0,0.000129618,0.000147885,4.20E-05,0,4.87E-05,0,0,0,9.80E-05,0,0,0,0,3.29E-05,5.21E-05,6.01E-05,9.85E-05,0,0,4.16E-05,0,0.000141898,3.09E-05,0,8.17E-05,0
o__YS2;f__;g__,0.004378213,0.000304303,0.000281241,0.000854093,0.001324261,0.002920008,0.003636628,0.004799831,0.003010461,0.002488038,0.000559764,0.000217108,0.002003229,0.000153339,0,0.001582708,0.001714731,0.000323698,0.000531915,0.000595086,0.000615533,7.32E-05,0.000562614,0.004216399,0.001046463,0.000625869,0.000252781,0.002372866,0.000223342,4.68E-05,0.000300323,0.001496329,0.000419287,0.000870748,0.003073526,0.001044841,0.009496676,0.000357539,0.000532855,0.001971753,0.001980041,0.000592807,0.001971495,0.000130668,5.95E-05,0.00101128,8.96E-05,0.000467047,0.000314833,0.000642055,0.000400114,6.02E-05,0.004836926,0.000177796,0.009556676,0.002180893,0.000342959,0.000147984,0.00022537,0.002066421,0.000551876,0.00189998,0.00133883,0.000318421,0.000199108,0.004600327,0.00217815,0.000409333,0.000267594,0.000192034,0.000563837,0.000178253,0.000160701,0.000388853,0.000110914,0.001637898,0.000281902,0.000194856,0.000545554,0.000619771,0.000282623,0.00210712,0.001197724,0.001040505,0.000441973,0.000425704,0.001150634,0.002242269,0.00186175,0.001428431,0.000861017,0.000384004,0.000124792,0.000372083,0.000141898,0.001236132,0.00117803,0.001265926,0.000267738
