#SampleID,Treatment_study,Treatment,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__AF12,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus],k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia
45.T1,8wk.P,p,0.000572205,0.000214577,0.001502038,0.006866462,0.032401116,0.005435949,0.016164795,0.011372577,0.004863744,0.505686289,0.121879694,0.000286103,0.01280309,0.0000715,0.005221372,0.025534654,0.138974322,0.000500679,0.001001359,0.000572205,0.018954295,0.013017667,0.000429154,0.002360346,0.000786782,0.000143051,0.009584436,0.0000715,0.000143051,0.000143051,0.014662757,0.02281668,0.007724769,0.000357628,0.000214577,0.000572205,0.000143051,0.001287462,0.003361705,0.002861026,0.001931192,0.002288821,0.000429154
45.T2,8wk.P,p,0.000178511,0.00021818,0.001586766,0.003471051,0.041989805,0.002082631,0.009679275,0.02923617,0.002697503,0.506218141,0.075034215,0.004998314,0.03564274,0.000178511,0.0127338,0.002955352,0.115020727,0.00047603,0.000119007,0.001110736,0.046412916,0.003233036,0,0.002181804,0.000178511,0,0.027966757,0,0,0.002399984,0.012337109,0.023841165,0.007259456,0.000297519,0.000198346,0.001209909,0.000119007,0.000297519,0.004423111,0.014479243,0.005097487,0.00025785,0.000238015
45.T3,8wk.P,p,0.000241275,0.000250554,0.00181884,0.009307634,0.072716474,0.00496469,0.024173866,0.030428448,0.003359286,0.494937872,0.123736788,0.001642524,0.003981032,0.000157757,0.024359462,0.000723824,0.100667217,0.000278394,0.000723824,0.000259834,0.032841195,0.008955002,0.000065,0.001020777,0.000992938,0.0000371,0.005215245,0.0000464,0.0000557,0.001503327,0.009920101,0.014615677,0.0063381,0.000194876,0.000148477,0.000686705,0.000129917,0.001252772,0.00772079,0.00272826,0.001317731,0.001995156,0.000185596
45.T4,8wk.P,p,0.000141749,0.000161999,0.000830245,0.002652735,0.027074094,0.006581212,0.034404552,0.032359314,0.002612235,0.449405666,0.239495373,0.000182249,0.004090476,0.000081,0.004292975,0.00180224,0.108701375,0.000526497,0.000971994,0.000161999,0.024563109,0.001154243,0.000546747,0.001154243,0.002348986,0,0.003361481,0.0000202,0.000141749,0.000222749,0.007978454,0.011603183,0.009557945,0.000404998,0.000161999,0.000566997,0.0000202,0.00172124,0.007937954,0.002693235,0.001052994,0.001012494,0.000344248
45.T5,8wk.P,p,0.000398063,0.002255689,0.00331719,0.012339946,0.016055198,0.003648909,0.008093943,0.008093943,0.002189345,0.445697605,0.122205268,0.000265375,0.004179659,0.0000663,0.013865853,0.023286672,0.168446892,0.000464407,0.000199031,0.000464407,0.036953493,0.004046971,0.001194188,0.001791282,0.002587408,0,0.011610164,0,0,0.000132688,0.010216944,0.006767067,0.039540901,0.00053075,0.000729782,0.0192397,0.000199031,0.001127844,0.012738008,0.003516221,0.003715252,0.004975785,0.000331719
46.T1,8wk.P,p,0.00015164,0.0000827,0.000661704,0.002109181,0.027612352,0.00318445,0.001226909,0.008271299,0.001047698,0.858354012,0.006410256,0.000758202,0.00055142,0.000137855,0.002950096,0.000124069,0.027474497,0.000344637,0.000496278,0.000220568,0.009815274,0.0000138,0,0.000840915,0.0000965,0.0000138,0.002798456,0,0.0000551,0.001585332,0.006878963,0.007650951,0.002853598,0.0000551,0.000110284,0.002453819,0.000317066,0.003294734,0.0145437,0.001612903,0.000592776,0.000137855,0.000964985
46.T2,8wk.P,p,0.000187561,0.000772312,0.002030076,0.001721151,0.020631751,0.004225647,0.010415173,0.006895639,0.000242726,0.600549444,0.214195086,0.000121363,0.000717146,0.000717146,0.037854298,0.0000993,0.042984653,0.000386156,0.000132396,0.000297892,0.006355021,0.0000552,0.0000221,0.000827477,0.002239703,0.0000221,0.00164392,0.000011,0.000132396,0.0000772,0.008649889,0.002427265,0.011816366,0.0000662,0.0000221,0.005748204,0.0000883,0.000650948,0.008925715,0.000187561,0.000375123,0.000419255,0.000264793
46.T3,8wk.P,p,0.000116305,0.000361837,0.000865823,0.003850975,0.019849321,0.004471266,0.01705801,0.005957381,0.001447346,0.390460437,0.379450267,0.00014215,0.001188892,0.000155073,0.009795433,0.008580696,0.048343952,0.000232609,0.000465218,0.000814132,0.015429746,0.000503987,0.000103382,0.004083584,0.000839978,0.0000129,0.031867464,0.0000129,0.0000646,0.0000388,0.005582622,0.006228758,0.016050037,0.000193841,0.0000258,0.003708825,0.000167996,0.002843002,0.008464391,0.002933461,0.001188892,0.000646137,0.000271377
46.T4,8wk.P,p,0.000518869,0.002015606,0.002554431,0.002753996,0.015625935,0.00500908,0.014368676,0.004570037,0.001396955,0.375980363,0.238879243,0.000478956,0.001317129,0.000239478,0.069388733,0.004390429,0.08750923,0.000259434,0.001057694,0.000458999,0.019258018,0.002474605,0.000119739,0.003991299,0.001297172,0.00002,0.069368776,0,0.000159652,0.00002,0.008760901,0.010137899,0.009459379,0.000279391,0.000139695,0.022989882,0.000139695,0.001396955,0.010756551,0.001796085,0.002953561,0.000997825,0.00033926
46.T5,8wk.P,p,0.000212961,0.000655265,0.000851845,0.003849682,0.010091082,0.00221152,0.006929428,0.005422318,0.001146714,0.445760435,0.190764039,0.000180198,0.079909573,0.000376777,0.019707097,0.023556779,0.092277701,0.000278488,0.0000819,0.000311251,0.021345259,0.001294148,0.0000164,0.003816919,0.000900989,0.0000164,0.008944368,0,0.0000328,0.0000655,0.005553371,0.010697202,0.024900072,0.000163816,0.0000983,0.018953542,0.0000328,0.001572636,0.007224297,0.004619619,0.00252277,0.000491449,0.000212961
47.T1,8wk.P,p,0.065349384,0.000818915,0.002643924,0.002363154,0.003334152,0.002047286,0.012412405,0.003287357,0.000210578,0.471881983,0.128745072,0.0000585,0.000362662,0.000198879,0.108073328,0.000304168,0.045987903,0.000257373,0.000339265,0.000596638,0.006925678,0.0000351,0.0000234,0.000701927,0.003193767,0.000128687,0.001041191,0.0000234,0.000152084,0.000748722,0.004281753,0.003603224,0.018460675,0.000163783,0.000152084,0.054188748,0.0000351,0.003802103,0.048292563,0.00066683,0.001602733,0.000269072,0.000467951
47.T2,8wk.P,p,0.017439574,0.000357551,0.001752002,0.002771024,0.005479477,0.001555349,0.05609089,0.002708453,0.000205592,0.37448155,0.379067148,0.000205592,0.000429062,0.000116204,0.062705592,0.000268164,0.04083238,0.000303919,0.000241347,0.000178776,0.005238129,0.0000358,0.0000268,0.00036649,0.001707308,0.0000179,0.001242491,0,0.0000358,0.000759797,0.004138658,0.002690575,0.009010297,0.000125143,0.0000358,0.007848255,0.0000179,0.000804491,0.005256007,0.000196653,0.000205592,0.007544336,0.000411184
47.T3,8wk.P,p,0.003851138,0.000183388,0.001014744,0.002188425,0.014487615,0.002017263,0.019439079,0.003068685,0.001222584,0.602305793,0.131916767,0.0000856,0.006394112,0.000195613,0.009988508,0.005856175,0.077450669,0.000281194,0.000599066,0.000244517,0.034721373,0.0000367,0.0000245,0.001014744,0.000990293,0.000415678,0.007396631,0.0000245,0.000122258,0.006614177,0.005905079,0.007298824,0.020820598,0.00014671,0.0000978,0.00965841,0,0.000452356,0.010673155,0.005574981,0.001650488,0.000366775,0.00014671
47.T4,8wk.P,p,0.001583949,0.000427415,0.00294162,0.001986222,0.011540202,0.003017046,0.008900287,0.005656962,0.002212501,0.425478956,0.086262382,0.000100568,0.006562076,0.000377131,0.022577563,0.018529693,0.179991955,0.000578267,0.000653693,0.00098054,0.100241364,0,0.00012571,0.002137074,0.001307387,0.00085483,0.020365063,0.0000251,0.00012571,0.001206819,0.012671595,0.023004978,0.023507819,0.000628551,0.000100568,0.011464776,0,0.000301705,0.007693468,0.004978126,0.004374717,0.002363353,0.000452557
47.T5,8wk.P,p,0.000415244,0.000276829,0.001061179,0.000922765,0.009781305,0.001476423,0.004060164,0.002214635,0.000599797,0.574051859,0.208637077,0.0000461,0.005121344,0.000138415,0.009827443,0.002998985,0.074651656,0.000138415,0.000553659,0.000415244,0.034972778,0.0000461,0.0000461,0.000461382,0.000599797,0.000230691,0.005813417,0.0000923,0.000322968,0.0000923,0.003321953,0.003321953,0.01850143,0.000184553,0.0000461,0.012134355,0,0.000138415,0.015410169,0.002122359,0.002122359,0.0000923,0.000138415
48.T1,8wk.P,p,0.003771611,0.0000951,0.000269401,0.000459566,0.007479835,0.000364483,0.014832892,0.001014215,0.001410393,0.781753641,0.003882541,0.0000634,0.005514793,0.0000158,0.004817521,0.000174318,0.097380473,0.0000951,0.000316942,0.0000634,0.016671157,0.0000158,0.0000158,0.001045909,0.0000634,0.00071312,0.001553016,0,0.0000158,0.000570496,0.004199483,0.00684595,0.00202843,0.0000317,0.000126777,0.006338843,0,0.00011093,0.005419711,0.004801673,0.000538802,0.013406653,0.000221859
48.T2,8wk.P,p,0.010764304,0.000192909,0.001003125,0.003009375,0.011690266,0.000501563,0.007639184,0.003395193,0.00266214,0.653536016,0.182028628,0,0.000308654,0.000115745,0.042247,0.000308654,0.035842432,0.000115745,0.000154327,0.0000772,0.006173078,0.0000772,0,0.000424399,0.002083414,0.0000386,0.001697596,0,0,0.000192909,0.002392068,0.003047957,0.000848798,0.0000386,0.0000772,0.009684016,0,0.0000386,0.012809136,0.000192909,0.0000772,0.000424399,0.000192909
48.T3,8wk.P,p,0.050535062,0.001222622,0.003234034,0.001248915,0.007414614,0.001985118,0.011739805,0.003352352,0.000460127,0.484421424,0.162306418,0.0000394,0.001577577,0.000157758,0.077906029,0.000302369,0.032143139,0.000197197,0.000197197,0.000092,0.005705571,0.000131465,0.0000263,0.000683617,0.007546078,0.000105172,0.001761628,0,0.000157758,0.000144611,0.002852786,0.002261194,0.023729393,0.0000263,0.000157758,0.092748403,0.0000131,0.000801935,0.015539137,0.000184051,0.000302369,0.000539006,0.000184051
48.T4,8wk.P,p,0.009596893,0.00018671,0.000448104,0.000616143,0.006833585,0.000802853,0.029686887,0.002501914,0.000597472,0.649115928,0.130398252,0,0.000429433,0.0000747,0.032076775,0.000224052,0.032487537,0.000168039,0.000130697,0.0000373,0.002819321,0.0000373,0.0000187,0.000317407,0.006012061,0.000056,0.000709498,0,0,0.000261394,0.001699061,0.00093355,0.005900035,0.0000373,0.0000187,0.034952109,0,0.0000747,0.043876846,0.0000934,0.000130697,0.000317407,0.002875334
48.T5,8wk.P,p,0.005947365,0.001492861,0.001420626,0.002167056,0.013483904,0.00421372,0.01459151,0.002311526,0.000481568,0.485565,0.276877513,0,0.000866822,0.000192627,0.056584238,0.000240784,0.018227348,0.000433411,0.0000963,0.0000963,0.004719366,0.000361176,0,0.000240784,0.004887915,0.0000241,0.002070742,0,0.000361176,0.0000963,0.003732152,0.001107606,0.017288291,0.000192627,0,0.034841444,0.0000482,0.000890901,0.03835689,0.0000482,0.0000963,0.000361176,0.00120392
49.T1,8wk.L,l,0.029688273,0.001523998,0.004136566,0.005660564,0.006927264,0.001979218,0.013894112,0.008372093,0.000672934,0.647065809,0.091954478,0.0000396,0.000870856,0.000534389,0.00199901,0.000356259,0.079426027,0.000712519,0.000712519,0.000514597,0.029292429,0.0000198,0.0000396,0.002711529,0.000692726,0.000613558,0.003879268,0.000099,0.0000396,0.000257298,0.011895101,0.009816922,0.005106383,0.000376051,0.0000396,0.010707571,0.0000396,0.001523998,0.017832756,0.001365661,0.001761504,0.000791687,0.002295893
49.T2,8wk.L,l,0.000491517,0.0000793,0.000523228,0.001014746,0.008086253,0.004835897,0.003440622,0.00279055,0.000142699,0.610765816,0.215110195,0.0000317,0.000840336,0.000110988,0.012652608,0.001918503,0.07198351,0.000142699,0.000523228,0.000618361,0.019644839,0.0000476,0,0.003202791,0.004217536,0.000285397,0.00079277,0.0000159,0.0000159,0.000110988,0.005390836,0.003282068,0.002552719,0.0000793,0.0000159,0.003678453,0.0000634,0.000761059,0.014222293,0.000681782,0.001046456,0.000618361,0.000443951
49.T3,8wk.L,l,0.000149549,0.000168243,0.001289864,0.015459678,0.024395259,0.008786032,0.02850787,0.00370135,0.000392567,0.440049351,0.285602124,0.0000561,0.013328598,0.000224324,0.004505178,0.000429955,0.080121135,0.000392567,0.000542117,0.001532882,0.039892324,0.0000561,0.000130856,0.000878603,0.003308782,0.000467342,0.002579729,0.0000561,0.000186937,0.0000374,0.008430852,0.006972745,0.009253374,0.000186937,0.000112162,0.000392567,0,0.002374098,0.006486709,0.001738513,0.001439414,0.000747747,0.000130856
49.T4,8wk.L,l,0.0000979,0.000815448,0.001598278,0.002837758,0.01141627,0.004990541,0.030302042,0.006914998,0.0000979,0.496901298,0.162371975,0.000130472,0.018200796,0.000195707,0.007632592,0.000391415,0.134581512,0.00061974,0.001141627,0.005055777,0.041065953,0.000489269,0.000260943,0.001304717,0.002054929,0.001174245,0.006654054,0.0000326,0.000260943,0.0000652,0.014482354,0.012786222,0.012557897,0.000391415,0.0000326,0.000750212,0.0000326,0.001304717,0.00828495,0.003718442,0.002707287,0.000521887,0.000293561
49.T5,8wk.L,l,0.000425743,0.002093238,0.002057759,0.003264032,0.015326758,0.004221954,0.012914213,0.003547861,0.000957922,0.523309444,0.288937771,0,0.000957922,0.000283829,0.025686511,0.000141914,0.025863904,0.000319307,0.000390265,0.001312708,0.016320159,0.000071,0.0000355,0.000425743,0.003902647,0.000141914,0.00457674,0,0.0004967,0.0000355,0.006279713,0.003193075,0.026999219,0.0000355,0,0.005463705,0.000141914,0.000532179,0.012169162,0.000745051,0.000461222,0.000886965,0.000212872
51.T1,8wk.L,l,0.000449573,0.0000375,0.004570658,0.003109546,0.026899446,0.008953994,0.017383486,0.009740746,0,0.39573655,0.005732055,0.000449573,0.015922374,0.00033718,0.003259404,0.004533193,0.327888506,0.000299715,0.00033718,0.000749288,0.056983366,0.004345871,0.00033718,0.003371797,0.000786753,0.00033718,0.017533343,0,0,0.00033718,0.02405215,0.021204855,0.008504421,0.000487037,0.0000375,0.001760827,0.0000749,0.00161097,0.002734902,0.019668815,0.004458265,0.001573505,0.002734902
51.T2,8wk.L,l,0.00526156,0.005059193,0.003204155,0.003406523,0.039562886,0.014098283,0.065702047,0.00559884,0.00033728,0.577355054,0.007116598,0.000202368,0.002327229,0.000573375,0.003676347,0.001956221,0.106243044,0.000573375,0.000708287,0.001787581,0.015987048,0.006711862,0.00016864,0.002428412,0.004789369,0.0000337,0.008600627,0.0000337,0.000202368,0.001956221,0.013288812,0.009140275,0.011771055,0.000505919,0.000101184,0.050423286,0.0000337,0.00657695,0.01497521,0.001011839,0.002057405,0.001686398,0.000742015
51.T3,8wk.L,l,0.000770915,0.001572666,0.003237843,0.003052823,0.014616547,0.00299115,0.028493016,0.005303895,0.000431712,0.535600851,0.004594653,0.000462549,0.025964415,0.000154183,0.004193777,0.000832588,0.178112184,0.000431712,0.001295137,0.0012643,0.076906473,0.001788523,0.0000617,0.002405255,0.000894261,0,0.017268494,0.000154183,0.0000308,0.000277529,0.017607697,0.015726664,0.01766937,0.000215856,0,0.015294952,0,0.000863425,0.004286287,0.006784051,0.00607481,0.001202627,0.000246693
51.T4,8wk.L,l,0.000155739,0.000175206,0.001537922,0.005080984,0.013860769,0.001615792,0.031050459,0.008409905,0.001732596,0.554430774,0.003231584,0.0000779,0.028013549,0.000194674,0.007027722,0.00044775,0.19806105,0.000233608,0.000934434,0.00081763,0.072262887,0.0000195,0.0000779,0.00221928,0.000700825,0.0000195,0.008020558,0.000116804,0.000116804,0.0000389,0.019408971,0.018104657,0.008604579,0.000330945,0.0000389,0.000603489,0,0.000116804,0.002433422,0.004341224,0.00311478,0.00110964,0.000233608
51.T5,8wk.L,l,0.000147226,0.000736129,0.00464813,0.004606066,0.012282842,0.002376646,0.017435746,0.006982711,0.001977033,0.519707231,0.00269213,0.000147226,0.018760779,0.000588903,0.010915745,0.000652,0.171686367,0.000694065,0.000504774,0.000862323,0.093551508,0.0000631,0.0000631,0.00269213,0.002145291,0.000021,0.014890843,0.000105161,0.000021,0.000630968,0.024923232,0.019475876,0.032326589,0.000483742,0.000105161,0.004500904,0,0.0000421,0.004080259,0.005279098,0.009191099,0.004732259,0.000273419
52.T1,8wk.L,l,0.003072076,0.000157542,0.000393856,0.000630169,0.004883813,0.004174872,0.031744781,0.00204805,0.000236314,0.627491138,0.007562032,0.0000788,0.000708941,0,0.001575423,0.000551398,0.042930288,0,0.0000788,0,0.005041355,0.008586058,0.0000788,0.000866483,0.018747538,0.0000788,0.001260339,0,0.0000788,0,0.003623474,0.00204805,0.00472627,0.0000788,0.0000788,0.14478141,0.000393856,0.001732966,0.025679401,0,0.000157542,0.000236314,0.051673887
52.T2,8wk.L,l,0.100924328,0.002185534,0.000793474,0.006737569,0.021576925,0.004217941,0.007948661,0.002171613,0.000835236,0.635558773,0.003800323,0.000194888,0.000487221,0.0000835,0.00162871,0.000626427,0.03172504,0.000306253,0.000361936,0.000194888,0.012779108,0.004315385,0.0000139,0.000556824,0.006932457,0,0.003285261,0,0.0000557,0.000849156,0.004913971,0.002979008,0.010273401,0.000320174,0.0000418,0.103346511,0.0000418,0.00022273,0.022078067,0.000487221,0.000640347,0.000904839,0.00045938
52.T3,8wk.L,l,0.000857375,0.001042753,0.001089097,0.005121075,0.037492759,0.011331248,0.010079944,0.00486618,0.000625652,0.562576758,0.004333217,0.000162206,0.038581856,0.000162206,0.003336809,0.011447109,0.104367976,0.000231723,0.000440273,0.000254895,0.087521724,0.012327656,0,0.004402734,0.003800255,0.000115861,0.008226162,0.0000927,0,0.000254895,0.015965705,0.015849844,0.012258139,0.000324412,0,0.018097555,0.0000463,0.002618468,0.007670027,0.002479435,0.007252926,0.001367165,0.00030124
52.T4,8wk.L,l,0.000239794,0.000359691,0.001408788,0.006414484,0.021461543,0.003596907,0.022900306,0.005515257,0.001168995,0.643246808,0.003626881,0.000149871,0.015226905,0.0000599,0.008212937,0.00212817,0.109076194,0.000299742,0.000269768,0.000179845,0.073316947,0.006714226,0.0000899,0.003776752,0.001768479,0.00003,0.004196391,0.0000899,0.000179845,0.000269768,0.014147833,0.019753012,0.008932318,0.000299742,0.000119897,0.0038367,0.00003,0.000149871,0.005814999,0.004436185,0.003117319,0.002457886,0.0000599
52.T5,8wk.L,l,0.00030994,0.001195484,0.0040735,0.006331636,0.017843702,0.005401815,0.016338278,0.006198805,0.000929821,0.513216737,0.005313261,0.000796989,0.001682533,0.000177109,0.004781935,0.002213859,0.201815364,0.000575603,0.000974098,0.001106929,0.098206774,0.000885544,0.0000886,0.007084348,0.005357538,0.0000443,0.013061767,0.0000886,0.0000443,0.0000886,0.020810272,0.020854549,0.02005756,0.000708435,0.000265663,0.006597299,0.000132832,0.00172681,0.003055125,0.001903919,0.002745185,0.001815364,0.000841266
54.T1,8wk.L,l,0.000590846,0.0000687,0.000398478,0.000893139,0.02590104,0.007818404,0.02067961,0.000769474,0.0000275,0.403080644,0.154801654,0.000370996,0.023331547,0.0000412,0.001800019,0.001497726,0.266952471,0.000137406,0.000370996,0.001209173,0.019704027,0.000137406,0.000206109,0.004589362,0.000824436,0.0000275,0.004424475,0,0.0000275,0.000151147,0.010635228,0.016090248,0.013039834,0.000178628,0.0000275,0.001291617,0.000206109,0.002019869,0.005880979,0.004630584,0.00068703,0.001978647,0.000274812
54.T2,8wk.L,l,0.001465668,0.0000956,0.000318624,0.001210769,0.023163932,0.002676438,0.042950454,0.002102915,0.0000637,0.398088259,0.255982157,0.000669109,0.038744623,0.0000956,0.001306357,0.009112633,0.114672614,0.000254899,0.0000637,0.000446073,0.024948224,0.001433806,0.0000956,0.000796559,0.001370081,0,0.013382189,0,0,0.008443524,0.013286602,0.016791461,0.006021985,0.00054166,0.000191174,0.004588179,0,0.002517126,0.003759758,0.002134778,0.001147045,0.001911741,0.000318624
54.T3,8wk.L,l,0.000208195,0.000458028,0.003580946,0.00495503,0.01486509,0.00341439,0.040972685,0.015864424,0.001249167,0.235468021,0.348725849,0.0000416,0.012533311,0.0000833,0.003081279,0.002706529,0.175757828,0.000291472,0.002165223,0.000166556,0.044012325,0.001665556,0.000291472,0.001707195,0.000541306,0,0.017779813,0.000166556,0.0000416,0.002956362,0.012075283,0.015406396,0.013782478,0.000249833,0.0000416,0.001873751,0,0.000916056,0.004538641,0.003289474,0.005204863,0.0007495,0.000333111
54.T4,8wk.L,l,0.0002342,0.0000781,0.001059476,0.003356865,0.020330779,0.003022294,0.036613247,0.014498087,0.001405199,0.371898246,0.328136327,0.000122676,0.009568738,0.0000669,0.001505571,0.004996264,0.11190293,0.000390333,0.001070628,0.000156133,0.024055673,0.001750923,0.0000781,0.001460961,0.000680295,0,0.006936777,0.0000558,0.0000669,0.000211895,0.010527842,0.009657957,0.021055684,0.0000892,0.0002342,0.001070628,0,0.000356876,0.002152408,0.002888465,0.000825276,0.000680295,0.000122676
54.T5,8wk.L,l,0.000502487,0.001030099,0.003668157,0.005376614,0.015526858,0.005250992,0.054318878,0.008391538,0.001532586,0.471458721,0.026053967,0.000477363,0.028867896,0.000276368,0.006984574,0.002813929,0.186699161,0.000628109,0.00097985,0.000703482,0.056680569,0.00218582,0.000301492,0.00396965,0.001658208,0.0000251,0.017134817,0.0000502,0.0000502,0.000427114,0.018717652,0.026682076,0.026757449,0.000703482,0.000251244,0.004597759,0,0.001231094,0.007587558,0.002210944,0.004070147,0.001532586,0.000175871
55.T1,8wk.L,l,0.000358749,0.0000837,0.001638286,0.001387162,0.015749067,0.003886444,0.013453076,0.008550177,0.003360279,0.644695303,0.004257151,0.000203291,0.003994069,0.000239166,0.001446953,0.002415574,0.157825505,0.000597914,0.000657706,0.000430498,0.0522936,0.0000598,0.000131541,0.001614369,0.002786281,0.000382665,0.005177939,0.0000359,0.000322874,0.002523199,0.016657897,0.017243853,0.006325935,0.000251124,0.0000837,0.004029944,0.000191333,0.000573998,0.007772888,0.007892471,0.001925285,0.003802736,0.000167416
55.T2,8wk.L,l,0.001227948,0.000736769,0.003192665,0.006201138,0.020936515,0.004666203,0.012218084,0.00677418,0.001330277,0.675698907,0.006794646,0.0000409,0.005628095,0.000204658,0.000552577,0.000818632,0.085199132,0.000532111,0.0000819,0.001146085,0.049179321,0.000102329,0.000143261,0.001391675,0.005423437,0.0000205,0.011031067,0.0000205,0.00024559,0.000143261,0.011870165,0.009925914,0.010273832,0.000429782,0.0000205,0.036285866,0.0000409,0.000920961,0.018071303,0.002824281,0.00511645,0.000511645,0.000429782
55.T3,8wk.L,l,0.000318258,0.000350084,0.001654944,0.003882754,0.016008402,0.003023456,0.032589669,0.006492473,0.001527641,0.657585691,0.006810732,0.0000955,0.003214411,0.000127303,0.00206868,0.003405366,0.137965055,0.000190955,0.001400337,0.000318258,0.058114,0.0000637,0.000159129,0.001209382,0.003341714,0,0.006524299,0.0000955,0.0000955,0.000190955,0.011011744,0.011839216,0.010757137,0.000222781,0.0000637,0.00299163,0.0000637,0.000159129,0.005219439,0.001718596,0.001559467,0.003309888,0.000827472
55.T4,8wk.L,l,0.000262902,0.00115986,0.003340396,0.004855945,0.018163401,0.004863678,0.119999072,0.005721974,0.002520761,0.598580332,0.003727015,0.00022424,0.001283578,0.000293831,0.001244916,0.006317369,0.104975024,0.000487141,0.00300017,0.000479409,0.034795787,0.0000619,0.000177845,0.001306775,0.00354917,0.00000773,0.008575228,0.0000387,0.00035569,0.003324931,0.01299816,0.010655243,0.022702318,0.000371155,0.0000696,0.000835099,0.0000619,0.000502606,0.010237694,0.003255339,0.001878973,0.000587662,0.00035569
