#SampleID,Treatment_study,Treatment,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__AF12,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus],k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia
43.T1,8wk.P,p,0.000446229,0.000187128,0.002015229,0.006650257,0.009658707,0.001381872,0.021188697,0.004563055,0.001050798,0.325977746,0.234500727,0.000201523,0.013084596,0.000431835,0.020929597,0.006679046,0.235623498,0.000201523,0.001813706,0.000273495,0.043716083,0.0000864,0.00012955,0.003915303,0.001252321,0.000316679,0.011961826,0.0000864,0.00012955,0.000187128,0.009730679,0.017057477,0.002907688,0.00028789,0.0000864,0.004980495,0.000143945,0.000777303,0.003469073,0.001957651,0.001338688,0.002662982,0.001108376
43.T2,8wk.P,p,0.001586371,0.000172432,0.00065524,0.004310791,0.005103976,0.004793599,0.007931855,0.002551988,0.000862158,0.251267372,0.23936959,0.000758699,0.037659068,0.000103459,0.004793599,0.010483843,0.249715488,0.000137945,0.001103562,0.001138049,0.050901817,0,0.000137945,0.00337966,0.00065524,0.00065524,0.005483326,0.000137945,0.000103459,0.000448322,0.023450702,0.015070525,0.040038625,0.000344863,0.000069,0.005414353,0,0.003138256,0.002896851,0.004241818,0.002586474,0.000931131,0.01248405
43.T3,8wk.P,p,0.000297954,0.000364166,0.001241475,0.008259948,0.021585116,0.005776998,0.024217043,0.006306694,0.000198636,0.345825333,0.251109051,0.00132424,0.033685361,0.000182083,0.005793551,0.005743892,0.119148514,0.000513143,0.000579355,0.0016553,0.036896643,0.0000662,0.000115871,0.002929881,0.00132424,0.000231742,0.008375819,0.0000166,0.0000662,0.0000497,0.015675694,0.017579289,0.043435079,0.000314507,0.000132424,0.00319473,0,0.003707873,0.003095412,0.005462491,0.004369993,0.003260942,0.012331987
43.T4,8wk.P,p,0.000104627,0.000360381,0.00113927,0.008486399,0.013775866,0.00431295,0.031318298,0.007858638,0.001209021,0.405394094,0.140502209,0.000569635,0.077179726,0.000174378,0.008893281,0.003685189,0.157393629,0.000220879,0.000976517,0.00029063,0.052441293,0.0000233,0.0000116,0.003208556,0.000906766,0.000685887,0.006440363,0.0000698,0.0000814,0.0000814,0.011904208,0.010648686,0.017833062,0.000244129,0.0000581,0.005208091,0,0.001302023,0.006789119,0.003882818,0.002976052,0.006986747,0.000662637
43.T5,8wk.P,p,0.00024517,0.0000817,0.001029715,0.010002942,0.016606191,0.004772646,0.013860286,0.006063875,0.000424962,0.373557582,0.24000523,0.0000163,0.002255565,0.000179791,0.082605995,0.000473996,0.093540584,0.000392272,0.000604753,0.00049034,0.032591285,0.000049,0.0000163,0.002745906,0.001830604,0.00052303,0.002843974,0.0000654,0.000212481,0.0000981,0.011424929,0.006848419,0.069562943,0.000130757,0.0000817,0.001356608,0.0000163,0.001095093,0.011408584,0.001797914,0.001405642,0.001765225,0.000294204
44.T1,8wk.P,p,0.000790455,0.000156444,0.000510502,0.004182826,0.008703242,0.001119812,0.01411292,0.008102166,0.000741052,0.572306071,0.278421395,0.0000165,0.003886405,0.0000906,0.028604599,0.00014821,0.02656259,0.000197614,0.0000329,0.0000823,0.003721727,0.004899176,0,0.000123509,0.000485801,0.0000247,0.000494035,0,0.0000247,0.0000247,0.003746429,0.0014327,0.00758343,0.0000247,0.0000576,0.01520803,0.0000329,0.000732818,0.00558259,0.0000659,0.00018938,0.000296421,0.003524113
44.T2,8wk.P,p,0.000310412,0.0000675,0.000472367,0.001039206,0.008799514,0.000701802,0.003940887,0.001794993,0.000404886,0.074849855,0.024293137,0.000472367,0.05376881,0,0.000836764,0.000107969,0.781199811,0.0000405,0.00028342,0.000148458,0.016262906,0.000715298,0,0.00017545,0.000202443,0.0000135,0.000958229,0,0,0.000188947,0.004750658,0.010068156,0.004683177,0.0000945,0.000027,0.000701802,0,0.000215939,0.000580336,0.001727512,0.003144612,0.0000945,0.000472367
44.T3,8wk.P,p,0.000455784,0.000628982,0.001567898,0.002926136,0.019471108,0.002461236,0.01213298,0.00350954,0.002123955,0.288766739,0.364408711,0.000164082,0.023591398,0.000136735,0.01743831,0.000136735,0.15799309,0.000191429,0.001112114,0.000437553,0.029361628,0.0000365,0.00000912,0.000838643,0.000145851,0.0000182,0.001959873,0.0000547,0.00000912,0.000419322,0.010173107,0.01200536,0.004029134,0.000118504,0.000218776,0.013956117,0,0.000583404,0.001649939,0.001604361,0.005961659,0.000209661,0.011759236
44.T4,8wk.P,p,0.000166631,0.000283272,0.001333045,0.010664356,0.012280673,0.006681886,0.033776015,0.005798744,0.001716295,0.346708213,0.263026344,0.00005,0.006231983,0.0000667,0.007098462,0.0000833,0.152583607,0.00021662,0.001966241,0.000266609,0.041674304,0,0,0.001516338,0.000783164,0.000866479,0.010597704,0.000166631,0.000199957,0.000133304,0.020162298,0.010081149,0.016179828,0.000316598,0.00021662,0.007931615,0.0000167,0.001732958,0.006681886,0.003732525,0.003249296,0.018595971,0.000499892
44.T5,8wk.P,p,0.00014341,0.0000478,0.002533582,0.006883694,0.013145944,0.005306181,0.048281467,0.004684736,0.002246761,0.249247096,0.118409102,0.000334624,0.004923754,0.00014341,0.062479086,0.000191214,0.320808834,0.000621445,0.001242889,0.000286821,0.088197333,0,0.0000478,0.002198958,0.000478034,0.000286821,0.005879822,0.0000478,0.000191214,0.0000478,0.013719585,0.011616234,0.012572303,0.000334624,0,0.001242889,0,0.000525838,0.004015488,0.003155027,0.00320283,0.005449591,0.000191214
